"","x"
"1","agnifitiae"
"2","albigion"
"3","berttula"
"4","borough"
"5","bs l"
"6","bwten lonnen"
"7","californien"
"8","chicago york"
"9","continent"
"10","continental"
"11","copy van schotland"
"12","deutschland"
"13","eleutheropolis"
"14","europ"
"15","highwayman"
"16","illegible"
"17","insula"
"18","je ne sai ou"
"19","jetzo auffs newe zu stade"
"20","kemmish"
"21","little britain"
"22","melvill"
"23","menley"
"24","nae"
"25","north"
"26","nulun"
"27","pace"
"28","paslic"
"29","permissu superiorum"
"30","piitem"
"31","providentiae"
"32","prs"
"33","rochell"
"34","sverige"
"35","tyskland"
"36","u r ev"
"37","ur ev"
"38","utopia"
"39","v telci"
